City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
294,Antofagasta,CL,73.99,few clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
295,Kapoeta,SS,83.93,overcast clouds,4.7717,33.5903,Eastgate Hotel
299,Akyab,MM,65.39,clear sky,20.15,92.9,Hotel Memory
302,Namatanai,PG,79.83,light rain,-3.6667,152.4333,Seagulls Inn Namatani
303,Villas,US,63.0,overcast clouds,26.5504,-81.8687,"Crowne Plaza Fort Myers at Bell Tower Shops, an IHG Hotel"
304,Kieta,PG,79.68,light rain,-6.2167,155.6333,Uruna Bay Retreat
307,Bettiah,IN,58.24,clear sky,26.8,84.5,Bhola Clarks Inn
308,Surt,LY,58.1,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
310,Kirakira,SB,80.78,broken clouds,-10.4544,161.9205,SanBiz Lodge
317,Saint-Philippe,RE,82.4,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
318,Acarau,BR,87.12,scattered clouds,-2.8856,-40.12,castelo pizzaria
319,Cururupu,BR,88.29,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
320,Pahrump,US,57.0,clear sky,36.2083,-115.9839,Best Western Pahrump Oasis
322,Santa Cruz,BO,68.0,heavy intensity rain,-17.8,-63.1667,Aviador Hotel Boutique
324,Kavieng,PG,83.16,broken clouds,-2.5744,150.7967,Nusa Island Retreat
325,Tura,IN,60.21,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
327,Harper,LR,80.89,clear sky,4.375,-7.7169,Screensaver
328,Grand Gaube,MU,81.0,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
329,Santa Rosa,PH,78.8,moderate rain,14.3122,121.1114,Erlyn’s Sta Rosa City Home
334,Kota Kinabalu,MY,71.6,light rain,5.9749,116.0724,Gaya Centre Hotel
335,Osorio,BR,81.0,overcast clouds,-29.8867,-50.2697,Hotel Litoral
336,Praia,CV,78.8,clear sky,14.9215,-23.5087,LT Aparthotel
337,Prainha,BR,92.39,scattered clouds,-1.8,-53.48,Casa Rocha
339,Geraldton,AU,84.2,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
340,Itoman,JP,59.0,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
343,Conceicao Do Araguaia,BR,90.01,broken clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
344,Soe,ID,66.81,overcast clouds,-9.8607,124.284,Dena Hotel
345,Camopi,GF,73.06,heavy intensity rain,3.1655,-52.3158,La pousada
346,Kruisfontein,ZA,70.0,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
347,Springbok,ZA,71.42,clear sky,-29.6643,17.8865,Undulata Country Lodge
348,Gunjur,GM,82.4,broken clouds,13.2019,-16.7339,Dalaba Eco-Lodge Gambia
350,Pisco,PE,77.0,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
351,Plettenberg Bay,ZA,66.58,few clouds,-34.0527,23.3716,Thanda Vista B&B
355,Belmonte,BR,86.0,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
357,Faya,SA,59.0,clear sky,18.3851,42.4509,املاك خالد الشعشوع
361,Boquira,BR,90.66,few clouds,-12.8231,-42.7306,Cristal Palace Hotel
362,Ciudad Bolivar,VE,90.09,broken clouds,8.1222,-63.5497,Hotel Edi
364,Andros Town,BS,70.75,overcast clouds,24.7,-77.7667,Hanks place
366,Port Lincoln,AU,58.68,broken clouds,-34.7333,135.8667,Port Lincoln Hotel
369,San Patricio,US,69.8,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
372,Cascais,PT,57.99,clear sky,38.6979,-9.4215,Hotel Vila Galé Cascais
374,Najran,SA,69.8,clear sky,17.4924,44.1277,محمد هادي ال فطيح
375,Maldonado,UY,75.0,broken clouds,-34.6667,-54.9167,La Cimarrona
376,Caravelas,BR,83.05,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
377,Gizo,SB,83.39,broken clouds,-8.103,156.8419,Imagination Island
378,Porto Belo,BR,86.0,few clouds,-27.1578,-48.5531,Costa Verde Beach Hotel
379,Celestun,MX,71.22,broken clouds,20.8667,-90.4,Posada Lilia
380,Guaruja,BR,91.4,scattered clouds,-23.9931,-46.2564,Charme Hotel Guarujá
381,Rawson,AR,67.62,clear sky,-43.3002,-65.1023,Hosteria Sampedro
384,Boromo,BF,86.36,overcast clouds,11.75,-2.9333,Sama Camp
385,Erzin,TR,59.0,broken clouds,36.9559,36.2,Artemis Otel
387,Coro,VE,83.03,few clouds,11.4045,-69.6734,Federal
390,Ponta Do Sol,PT,60.8,broken clouds,32.6667,-17.1,Hotel do Campo
391,Villa Carlos Paz,AR,82.99,clear sky,-31.4241,-64.4978,Monte Carlo vcp
393,Kailua,US,71.6,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
394,Ancud,CL,64.4,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
396,Isangel,VU,79.52,overcast clouds,-19.55,169.2667,Tanna Lodge
399,Lazaro Cardenas,MX,83.3,scattered clouds,17.9583,-102.2,quinta antigua
401,San Lorenzo,PY,77.0,moderate rain,-25.3333,-57.5333,Hotel del Sur
402,General Roca,AR,84.2,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
406,Inirida,CO,84.49,moderate rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
408,Brandon,US,60.8,scattered clouds,27.9378,-82.2859,Brandon Motor Lodge
409,Rocha,UY,76.14,scattered clouds,-34.4833,-54.3333,Hotel Arrarte
410,Cap Malheureux,MU,81.0,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
411,Ituporanga,BR,81.0,overcast clouds,-27.4144,-49.6025,Hotel Jacaré
416,Punta Ocote,HN,68.0,broken clouds,15.2,-87.2833,Punta ocote
420,Kerema,PG,79.7,overcast clouds,-7.9631,145.7785,Frena Lodge
423,Kuchinarai,TH,60.08,broken clouds,16.541,104.05,โรงแรมแสงชัย
424,Muros,ES,57.0,broken clouds,42.7762,-9.0603,Apartment Av. Castelao
429,Ruteng,ID,63.86,light rain,-8.6136,120.4721,Hotel FX 72
432,Breves,BR,88.27,scattered clouds,-1.6822,-50.4803,Hotel e Restaurante Grill
437,Puerto Carreno,CO,92.53,clear sky,6.189,-67.4859,Casa Hotel Victoria
439,Curup,ID,67.95,light rain,-3.4667,102.5333,Ayi The Costel
440,West Bay,KY,81.0,broken clouds,19.3667,-81.4167,Calypso Cove
441,Rio Grande City,US,68.0,scattered clouds,26.3798,-98.8203,La Borde House
443,Pimentel,PE,80.6,clear sky,-6.8367,-79.9342,Casona Del Muelle
446,San Carlos De Bariloche,AR,80.01,clear sky,-41.1456,-71.3082,Hotel Patagonia
447,Wanning,CN,59.18,broken clouds,18.8003,110.3967,Paradise Hotel
448,Mozarlandia,BR,84.04,light rain,-14.7447,-50.5706,Hotel Santa Mônica
449,Olinda,BR,80.6,few clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
450,Tomatlan,MX,87.66,few clouds,19.9333,-105.25,El Salvial
451,Poso,ID,77.0,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
452,Saldanha,ZA,78.8,clear sky,-33.0117,17.9442,Blue Bay Lodge
454,Davila,PH,72.41,scattered clouds,18.4726,120.5763,Blue Ridge Beach Resort
455,Byumba,RW,55.54,few clouds,-1.5763,30.0675,RGC206 [AIRTEL]
458,Auki,SB,78.13,broken clouds,-8.7676,160.7034,Auki Motel
