City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
122,Price,US,2022-02-08 22:12:40,39.5994,-110.8107,52.86,19,0,16.11
123,Mwandiga,TZ,2022-02-08 22:17:27,-4.83,29.6581,70.84,81,73,2.71
124,Bethel,US,2022-02-08 22:17:28,41.3712,-73.414,37.04,71,58,4.0
125,Xuddur,SO,2022-02-08 22:17:28,4.1213,43.8894,73.49,27,77,13.22
126,Oktyabrskiy,RU,2022-02-08 22:17:29,54.4815,53.471,15.44,96,100,4.16
127,Saint-Augustin,CA,2022-02-08 22:13:36,51.226,-58.6502,11.82,96,88,9.98
128,Fuerte Olimpo,PY,2022-02-08 22:17:29,-21.0415,-57.8738,86.02,21,0,4.36
129,Puerto Madero,MX,2022-02-08 22:17:29,14.7208,-92.4215,86.2,58,40,5.75
130,Klyuchevsk,RU,2022-02-08 22:17:30,57.1216,60.9414,10.33,98,99,3.04
131,Cheney,US,2022-02-08 22:17:30,47.4874,-117.5758,45.99,71,75,8.05
132,Peruibe,BR,2022-02-08 22:12:31,-24.32,-46.9983,73.42,84,87,7.18
133,Puksoozero,RU,2022-02-08 22:17:31,62.5903,40.6066,25.12,94,99,6.15
134,Te Anau,NZ,2022-02-08 22:17:32,-45.4167,167.7167,63.79,70,91,0.94
135,Fairbanks,US,2022-02-08 22:17:32,64.8378,-147.7164,5.34,72,20,4.61
136,Lucea,JM,2022-02-08 22:13:01,18.451,-78.1736,78.66,73,25,0.85
137,Soe,ID,2022-02-08 22:17:33,-9.8607,124.284,66.92,92,96,2.73
138,Hithadhoo,MV,2022-02-08 22:17:33,-0.6,73.0833,82.45,69,100,13.85
139,Champerico,GT,2022-02-08 22:17:33,14.3,-91.9167,86.54,64,10,8.1
140,Sorong,ID,2022-02-08 22:17:34,-0.8833,131.25,78.6,84,100,5.75
141,Intorsura Buzaului,RO,2022-02-08 22:17:34,45.6833,26.0333,30.24,92,99,11.72
142,Tautira,PF,2022-02-08 22:17:35,-17.7333,-149.15,86.02,79,67,18.43
143,Arraial Do Cabo,BR,2022-02-08 22:17:35,-22.9661,-42.0278,71.46,94,75,6.91
144,Touros,BR,2022-02-08 22:17:35,-5.1989,-35.4608,83.3,70,5,16.42
145,Luanda,AO,2022-02-08 22:17:36,-8.8368,13.2343,75.18,84,85,8.12
146,Diego De Almagro,CL,2022-02-08 22:17:36,-26.3667,-70.05,76.5,26,0,11.39
147,Roald,NO,2022-02-08 22:17:37,62.5833,6.1333,41.14,75,20,26.46
148,Banjarmasin,ID,2022-02-08 22:17:37,-3.3244,114.591,75.34,92,100,3.09
